marca,modelo,ano,cor,placa,chassi,valor_compra,valor_venda,status,observacoes
YAMAHA, LANDER XTZ250,2025/2025,AZUL,TUE-0I83,9C6DG3340S0013418,0,0,Salão,
KAWASAKI,2300,2017/2018,VERDE,KYV9I70,96PERHB13JFS00253,0,0,Vendida,
YAMAHA,FLUO ABS,2025/2026,AZUL,,9C6SEK910T0002555,0,0,Oficina,
MXF,BRAVE 110CC ,,AMARELO,*,HP24MZ33ATV05025,0,0,Oficina,
MXF,BRAVE 110C,,VERDE,,HP24MZ333ATV05049,0,0,Vendida,
MXF,BRAVE 110C,,VERMELHO,,HP24MZ333ATV05012,0,0,Oficina,
MXF,BRAVE,,AZUL,,HP24MZ331ATV05035,0,0,Oficina,
YAMAHA,XMAX,2021/2021,AZUL,RJG3H16,9C6SG6210M0006593,0,0,Oficina,
HONDA,PCX 160 ABS,2024/2025,VERMELHA,TUB0E86,9C2KF52105R001639,0,0,Vendida,
KAWASAKI,VULCON S ABS,2019/2019,PRETA,LMX1H36,96PENCD10KF500353,0,0,Vendida,
Honda ,PCX 160,2024/2024,CINZA,SRD5E21,9C2KF5200RR009947,0,0,Vendida,
YAMAHA,XTZ250,2020/2019,AZUL,RKN0A46,9C6DG3320L0017009,0,0,Vendida,
YAMAHA,NEO 125,2024/2025,AZUL,,9C6SEB540S0013318,0,0,Vendida,
HONDA,CB 300F TWISTER,2025/2025/,VERMELHA,,9C2NC6110SR010141,0,0,Vendida,
YAMAHA,NMAX 160,2025/2025,PRETA,TTG-5A51,9C6SG9110S0007365,0,0,Salão,
HONDA,SAHARA 300,2024/2025,VERMELHA,TTE0H12,9C2ND17305R102074,0,0,Vendida,
YAMAHA,YS 150 FAZER SED,2019/2019,BRANCA,LMV6GO2,9C6RG3882K0010845,0,0,Vendida,
YAMAHA,XTZ150 CROSSER ED ,2017/2017,BRANCA,LSW9G17,9C6DG251040044640,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TUF0D38,9C2KF52205R002516,0,0,Vendida,
HONDA,CG 160 TITAN,2024/2025,PRETA,TTE2G54,9C2K22105R011102,0,0,Vendida,
YAMAHA,NEO 125,2024/2025,AZUL,TUF0C8S,9C65EB54050005075,0,0,Vendida,
HONDA,POP 110 I ES,2024/2025,VERMELHA,TUV8B05,9C2JB01005R245381,0,0,Vendida,
YAMAHA,NEO 125,2024/2025,CINZA,TUB0E78,9C6SEB540S0013092,0,0,Vendida,
HONDA ,PCX 160 DLX ABS,2025/2025,AZUL,TUN0J45,9C2KF5220SR009820,0,0,Salão,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,*,9C2KF2205SR009502,0,0,Salão,
HONDA,PCX 160 DLX ABS,2025,AZUL,*,9C2KF5220SR009726,0,0,Salão,
HONDA ,CG 160 TITAN,2025/2025,LARANJA,,9C2KC2210SR025972,0,0,Salão,
HONDA,CG 160 FAN,2022/2022,PRETA,RJZ7E92,9C2KC2200NR231841,0,0,Vendida,
HONDA,PCX ABS ,2024/2025,VERMELHA,TTC4B15,9C2KF52SR001971,0,0,Vendida,
HONDA,SH 150I DLX ,2021/2021,PRETA,RKP3D70,9C2KF2710MR000290,0,0,Vendida,
HONDA,PCX ABS ,2024/2025,VERMELHA,,9C2KF5210SR001932,0,0,Vendida,
YAMAHA,NEO 125,2024/2025,AZUL,TTC1H29,9C6SEB54050011669,0,0,Vendida,
HONDA ,PCX 150,2014/2015,PRETA,LMD6883,9C2KF1710FR501631,0,0,Vendida,
HONDA,XRE300 SAHARA RALLY,2024/2024,VERMELHA,SRX-5H38,9C2ND1730RR109105,0,0,Vendida,
BMW,F750 GS,2022/2022,AZUL,RKQ7A78,99Z0B2808NZ908125,0,0,Com Pendência,MOTO AINDA NÃO ESTÁ NA LOJA AGUARDANDO CHEGAR PARA CONFERENCIA DE PAGAMENTO DE DÉBITOS PARA FINALIZAR E GUARDAR ENVELOPE
YAMAHA,FZ25 250 FAZER,2025/2025,AZUL,,9C6RG5040S0016862,0,0,Com Pendência,
HONDA,NC750X,2015/2015,PRETA,LSE7D80,9C2RE7320FR000S96,0,0,Salão,
HONDA,NC750X,2015,PRETA,LSE7D80,9C2RE73200FR000596,0,0,Salão,
YAMAHA,FZ25 250 FAZER,2018/2019,AZUL,LMR2E61,9C6RG5010K0019670,0,0,Com Pendência,
BMW ,F750 GS,2022/2022,AZUL,RKQ7A78,99Z0B2808NZ908125,0,0,Salão,
"HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TUS0D88,9C2KF5220SR001774,0,0,Vendida,ENTRADA 7.500,00  NO CARTÃO DE CREDITO REDE 12X 803,00
17.500,00 BRADESCO 48X 819,08"
HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TTB2G35,9C2KF5220SR001909,0,0,Vendida,40.500,00 PIX 
"HONDA,PCX 160 ABS,2024/2025,VERMELHA,TTB2C86,9C2KF5210SR000741,0,0,Vendida,ENTRADA 14.500,00 DA PCX 150
9.500,00 NO TED"
"HONDA,CG FAN 160,2025/2025,PRETA,,9C2KC2200SR217368,0,0,Vendida,19.994,00
1.000,00 MONTEIRO REFERENTE AO FRADE"
"KAWAZAKI,Z650,2020/2021,PRETA,EPA3E06,96PERCK18MFS00238,0,0,Vendida,17.000,00 + PIX ITAU 3.000,00
18.990,00 FINANCIADO DO SANTANDER 48X 765,50"
HONDA,NXR 160 BROS CBS,2024/2025,PRETA,TUC0A13,9C2KD0810SR021309,0,0,Vendida,22.806,16
"HONDA,CG 160 START,2024/2025,VERMELHA,TUI0870,9C2KC2500SR105678,0,0,Vendida,TED 3.500 SANTANDER 08/01 + 17.042,00
SANTANDER 48 X 758.26"
HONDA,XRE 190,2017/2017,PRETA,KRW5C75,9C2MD4100HR016480,0,0,Vendida,
HONDA,CG 160 FAN,2024/2025,PRETA,TTD3F50,9C2KCC2200SR300182,0,0,Vendida,15.000,00 PIX ITAU 31/01/2025 + 6.990,00 10/02/2025
HONDA,PCX DLX ABS,2024/2025,AZUL,SRC1I62,9C2KF5220RR007014,0,0,Vendida,ENTRADA 9.000,00 29/01/2025 ITAU + 5.000,00 30/01/2025 + 4.000,00 30/01/2025 + 1.000,00 CARTÃO DE CREDITO + 2.000,00 06/02/2025
BMW,GS310,2020/2020,PRETA,RKT,99Z0G2206LR889582,0,0,Vendida,ENTRADA 20.000,00 SANTANDER 11/01 + 9.000,00 BV 24X 542
HONDA ,NXR 160 BROS CBS ,2025/2025,PRETA,,9C2KD0810SR065636,0,0,Com Pendência,
HONDA,CG 160 FAN,2025/2025,PRETA,TTH7I55,9C2KC2200SR247759,0,0,Com Pendência,
yamaha,neo 125,2025/2025,azul,tti5h94,9c6seb540s0010951,0,0,Vendida,
YAMAHA,NMAX,2017/2017,BRANCA,LTB-9B80,9C6SG3310H0011375,0,0,Vendida,
YAMAHA,MT 03 ABS,2024/2024,CINZA,SRJ-9H69,9C6RH1150R0032071,0,0,Salão,
YAMAHA,MT-03 ABS,2021/2022,PRETA,RKK6A77,9C6RH1150N0011814,0,0,Com Pendência,
YAMAHA,FZ 25 FAZER ,2018/2019,AZUL,LMR-2E61,9C6RG5010K0019670,0,0,Salão,
YAMAHA,MT 03 ABS,2021/2022,PRETA,RKK-6A77,9C6RH1150N0011814,0,0,Salão,
YAMAHA,FZ25 FAZER,2022/2022,PRETA,RJB6E63,9C6RG5020N0021516,0,0,Vendida,
HONDA,PCX 160 ABS,2022/2023,BRANCA,RKE8C49,9C2KF5210PR000390,0,0,Salão,
YAMAHA,MT 07 ABS,2022/2023,AZUL,LUQ-9D57,9C6RM0940P0006341,0,0,Salão,
HONDA,XRE 300 SAHARA RAL,2023/2024,VERMELHA,SRC -0D58,9C2ND1730RR100409,0,0,Oficina,
HONDA,ADV-150,2022/2022,BRANCA,RJQ7C55,9C2KF4300NR008893,0,0,Vendida,
